0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.2324,2.5845,3.9944,5.4596,6.9658,8.5074,10.08,11.673,13.282,14.903,16.546,18.201,19.871,21.553,23.248,24.952,26.668,28.392,30.126,31.867,33.619,35.377,37.142,38.916,40.695,42.483,44.276,46.076,47.883,49.695,51.514,53.338,55.168,57.004,58.846,60.693,62.545,64.403,66.266,68.135,70.008,71.887,73.771,75.659,77.553,79.452,81.355,83.264,85.177,87.094
1.2628,2.6487,4.0822,5.5673,7.0908,8.6472,10.233,11.837,13.461,15.103,16.754,18.416,20.093,21.78,23.479,25.187,26.905,28.631,30.368,32.11,33.862,35.62,37.385,39.157,40.935,42.721,44.512,46.309,48.113,49.921,51.736,53.556,55.382,57.213,59.049,60.89,62.736,64.587,66.443,68.305,70.17,72.041,73.917,75.797,77.681,79.571,81.465,83.363,85.266,87.173
1.2932,2.7129,4.1701,5.6751,7.2158,8.7871,10.386,12.001,13.635,15.286,16.948,18.625,20.311,22.006,23.709,25.421,27.143,28.871,30.609,32.352,34.105,35.863,37.628,39.399,41.176,42.96,44.748,46.543,48.343,50.148,51.959,53.775,55.595,57.421,59.251,61.087,62.927,64.771,66.621,68.475,70.333,72.196,74.063,75.934,77.81,79.69,81.574,83.462,85.355,87.252
1.3236,2.7771,4.2579,5.7829,7.3408,8.9269,10.538,12.165,13.81,15.469,17.138,18.823,20.514,22.218,23.928,25.649,27.375,29.11,30.85,32.595,34.348,36.106,37.87,39.641,41.416,43.198,44.984,46.776,48.573,50.375,52.182,53.993,55.809,57.629,59.454,61.284,63.118,64.956,66.798,68.645,70.495,72.35,74.209,76.071,77.938,79.809,81.683,83.562,85.444,87.33
1.3539,2.8413,4.3457,5.8907,7.4658,9.0668,10.691,12.329,13.984,15.652,17.329,19.02,20.717,22.427,24.141,25.865,27.595,29.333,31.076,32.825,34.581,36.341,38.107,39.878,41.655,43.436,45.22,47.009,48.803,50.601,52.404,54.211,56.022,57.838,59.657,61.481,63.308,65.14,66.975,68.814,70.657,72.504,74.355,76.209,78.067,79.928,81.793,83.661,85.533,87.409
1.3843,2.8987,4.4336,5.9985,7.5908,9.2066,10.843,12.493,14.158,15.834,17.52,19.217,20.921,22.635,24.354,26.082,27.815,29.555,31.3,33.051,34.807,36.567,38.334,40.104,41.879,43.659,45.443,47.231,49.023,50.819,52.62,54.423,56.231,58.043,59.857,61.676,63.498,65.324,67.152,68.984,70.82,72.659,74.501,76.346,78.195,80.047,81.902,83.761,85.623,87.488
1.4147,2.9543,4.5214,6.1062,7.7158,9.3464,10.996,12.657,14.332,16.017,17.711,19.415,21.124,22.844,24.567,26.299,28.035,29.777,31.524,33.276,35.033,36.794,38.56,40.33,42.104,43.883,45.664,47.45,49.24,51.032,52.829,54.629,56.432,58.239,60.049,61.862,63.678,65.498,67.321,69.146,70.975,72.807,74.641,76.479,78.32,80.163,82.009,83.858,85.71,87.565
1.4451,3.0098,4.6053,6.214,7.8407,9.4863,11.149,12.821,14.506,16.2,17.901,19.612,21.328,23.052,24.78,26.515,28.255,29.999,31.748,33.502,35.26,37.021,38.787,40.556,42.329,44.106,45.886,47.669,49.456,51.245,53.039,54.834,56.633,58.436,60.24,62.048,63.859,65.672,67.488,69.307,71.129,72.953,74.78,76.609,78.441,80.276,82.113,83.953,85.795,87.64
1.4755,3.0654,4.6822,6.3209,7.9657,9.6261,11.301,12.985,14.68,16.383,18.092,19.81,21.531,23.261,24.993,26.732,28.474,30.222,31.973,33.727,35.486,37.248,39.014,40.782,42.554,44.329,46.107,47.888,49.672,51.458,53.248,55.04,56.835,58.632,60.432,62.234,64.039,65.846,67.656,69.468,71.282,73.099,74.918,76.739,78.563,80.389,82.217,84.047,85.88,87.714
1.5059,3.1209,4.7591,6.416,8.0883,9.766,11.454,13.149,14.854,16.566,18.283,20.007,21.735,23.469,25.206,26.949,28.694,30.444,32.197,33.953,35.712,37.474,39.24,41.008,42.779,44.553,46.328,48.107,49.888,51.672,53.457,55.246,57.036,58.829,60.623,62.42,64.219,66.02,67.824,69.629,71.436,73.245,75.057,76.87,78.685,80.502,82.321,84.142,85.965,87.789
1.5362,3.1765,4.8359,6.511,8.199,9.8956,11.599,13.312,15.028,16.748,18.473,20.204,21.938,23.678,25.419,27.165,28.914,30.666,32.421,34.178,35.939,37.701,39.467,41.234,43.004,44.776,46.55,48.326,50.104,51.885,53.667,55.451,57.237,59.025,60.815,62.606,64.399,66.194,67.991,69.79,71.59,73.391,75.195,77,78.807,80.615,82.425,84.236,86.049,87.864
1.5666,3.232,4.9128,6.6061,8.3097,10.02,11.737,13.46,15.187,16.919,18.655,20.394,22.137,23.882,25.63,27.381,29.134,30.888,32.645,34.404,36.165,37.928,39.693,41.46,43.229,44.999,46.771,48.545,50.321,52.098,53.876,55.657,57.438,59.222,61.006,62.792,64.58,66.368,68.159,69.95,71.743,73.538,75.333,77.13,78.928,80.728,82.529,84.331,86.134,87.939
1.597,3.2876,4.9897,6.7012,8.4204,10.145,11.874,13.608,15.345,17.085,18.829,20.575,22.323,24.074,25.826,27.581,29.337,31.095,32.855,34.617,36.379,38.144,39.91,41.677,43.445,45.215,46.986,48.758,50.531,52.306,54.081,55.858,57.636,59.415,61.195,62.976,64.758,66.541,68.325,70.11,71.896,73.683,75.471,77.26,79.05,80.841,82.633,84.425,86.219,88.013
1.6274,3.3431,5.0666,6.7963,8.5311,10.269,12.011,13.755,15.502,17.251,19.002,20.755,22.509,24.265,26.022,27.78,29.54,31.301,33.063,34.826,36.59,38.354,40.12,41.887,43.655,45.423,47.193,48.963,50.734,52.505,54.278,56.051,57.825,59.6,61.375,63.151,64.928,66.705,68.483,70.262,72.041,73.821,75.602,77.383,79.165,80.948,82.731,84.515,86.299,88.085
1.6578,3.3987,5.1434,6.8913,8.6418,10.394,12.148,13.903,15.659,17.417,19.175,20.935,22.695,24.456,26.218,27.98,29.743,31.506,33.27,35.035,36.8,38.565,40.331,42.098,43.864,45.632,47.399,49.168,50.936,52.705,54.474,56.244,58.014,59.784,61.555,63.326,65.097,66.869,68.641,70.414,72.186,73.959,75.733,77.507,79.281,81.055,82.83,84.605,86.38,88.155
