0,MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
1909,0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
1910,0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
1911,0.4,0.4,0.04,0.8,0.4,0.4,0.0,0.64,0.64,0.84,0.8
1912,0.6,0.6,0.04,0.4,0.6,0.6,0.0,0.64,0.16,0.68,0.64
1913,0.8,0.8,0.1,0.2,0.8,0.8,0.0,0.64,0.0,0.68,0.4
1914,0.8,0.8,0.1,0.0,0.6,0.6,0.23,0.4,0.0,0.48,0.64
1915,0.8,0.8,0.1,0.0,0.0,0.0,0.29,0.4,0.0,0.44,0.64
1916,0.8,0.8,0.4,0.0,0.0,0.0,0.49,0.4,0.0,0.44,0.64
1917,1.0,1.0,0.58,0.0,0.0,0.0,0.74,0.4,0.0,0.44,0.4
1918,1.0,1.0,0.76,0.0,0.0,0.0,0.2,0.16,0.0,0.44,0.4
1919,1.0,1.0,0.91,0.0,0.0,0.0,0.17,0.16,0.0,0.44,0.0
1920,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0
1921,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0
1922,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0
1923,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0
1924,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0
1925,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.4,0.0,0.44,0.0
1926,0.8,0.8,0.76,0.0,0.0,0.0,0.0,0.64,0.0,0.48,0.0
1927,0.6,0.6,0.46,0.2,0.2,0.2,0.0,0.8,0.16,0.68,0.4
1928,0.4,0.4,0.1,0.4,0.4,0.4,0.23,0.8,0.32,0.68,0.64
1929,0.4,0.4,0.04,0.6,0.4,0.4,0.23,0.64,0.64,0.76,0.8
1930,0.4,0.4,0.04,0.8,0.4,0.4,0.23,0.8,0.64,0.84,0.8
1931,0.4,0.4,0.04,0.8,0.6,0.6,0.32,0.4,0.32,0.84,0.64
1932,0.6,0.6,0.04,0.4,0.6,0.6,0.83,0.64,0.16,0.76,0.0
1933,0.4,0.4,0.04,0.6,0.6,0.6,0.43,0.8,0.32,0.76,0.64
1934,0.4,0.4,0.04,0.8,0.4,0.4,0.06,0.8,0.64,0.84,0.8
1935,0.4,0.4,0.04,0.8,0.4,0.4,0.0,0.64,0.64,0.84,0.8
1936,0.6,0.6,0.04,0.4,0.6,0.6,0.0,0.64,0.16,0.68,0.64
1937,0.8,0.8,0.1,0.2,0.8,0.8,0.0,0.64,0.0,0.68,0.4
1938,0.8,0.8,0.1,0.0,0.6,0.6,0.23,0.4,0.0,0.48,0.64
1939,0.8,0.8,0.1,0.0,0.0,0.0,0.29,0.4,0.0,0.44,0.64
1940,0.8,0.8,0.4,0.0,0.0,0.0,0.49,0.4,0.0,0.44,0.64
1941,1.0,1.0,0.58,0.0,0.0,0.0,0.74,0.4,0.0,0.44,0.4
1942,1.0,1.0,0.76,0.0,0.0,0.0,0.2,0.16,0.0,0.44,0.4
1943,1.0,1.0,0.91,0.0,0.0,0.0,0.17,0.16,0.0,0.44,0.0
1944,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1945,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1946,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1947,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1948,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1949,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1950,0.8,0.8,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
1951,0.6,0.6,0.46,0.0,0.2,0.2,0.0,0.0,0.0,0.68,0.4
1952,0.4,0.4,0.1,0.0,0.4,0.4,0.23,0.0,0.0,0.68,0.64
1953,0.4,0.4,0.04,0.0,0.4,0.4,0.23,0.0,0.0,0.76,0.8
1954,0.4,0.4,0.04,0.0,0.4,0.4,0.23,0.0,0.0,0.84,0.8
1955,0.4,0.4,0.04,0.0,0.6,0.6,0.32,0.0,0.0,0.84,0.64
1956,0.6,0.6,0.04,0.0,0.6,0.6,0.83,0.0,0.0,0.76,0.0
1957,0.4,0.4,0.04,0.0,0.6,0.6,0.43,0.0,0.0,0.76,0.64
1958,0.4,0.4,0.04,0.0,0.4,0.4,0.06,0.0,0.0,0.84,0.8
1959,0.4,0.4,0.04,0.0,0.4,0.4,0.0,0.0,0.0,0.84,0.8
1960,0.6,0.6,0.04,0.0,0.6,0.6,0.0,0.0,0.0,0.68,0.64
1961,0.8,0.8,0.1,0.0,0.8,0.8,0.0,0.0,0.0,0.68,0.4
1962,0.8,0.8,0.1,0.0,0.6,0.6,0.23,0.0,0.0,0.48,0.64
1963,0.8,0.8,0.1,0.0,0.0,0.0,0.29,0.0,0.0,0.44,0.64
1964,0.8,0.8,0.4,0.0,0.0,0.0,0.49,0.0,0.0,0.44,0.64
1965,1.0,1.0,0.58,0.0,0.0,0.0,0.74,0.0,0.0,0.44,0.4
1966,1.0,1.0,0.76,0.0,0.0,0.0,0.2,0.0,0.0,0.44,0.4
1967,1.0,1.0,0.91,0.0,0.0,0.0,0.17,0.0,0.0,0.44,0.0
1968,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1969,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1970,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1971,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
1972,1.0,1.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0
