DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
19.62,3.66,1.25,11.52,0.0
19.89,3.66,1.25,10.02,0.0
21.2,3.66,1.25,7.88,0.0
17.53,0.77,0.26,1.01,0.0
15.63,0.0,0.0,2.16,0.0
20.22,3.66,1.25,14.61,0.0
21.13,3.66,1.25,9.85,0.0
22.12,3.66,1.25,8.85,0.09
20.85,3.66,1.25,4.51,0.0
19.45,3.66,1.25,13.66,0.0
15.0,0.77,0.26,12.27,0.0
15.58,0.0,0.0,10.17,0.0
20.75,3.66,1.25,15.3,0.0
20.2,3.66,1.25,10.18,0.0
20.68,3.66,1.25,11.8,0.0
21.42,3.66,1.25,10.65,0.0
22.2,3.66,1.25,8.19,0.11
18.85,0.77,0.26,0.24,0.0
17.89,0.0,0.0,1.73,0.0
22.69,3.66,1.25,6.41,0.3
23.44,3.66,1.25,3.11,0.14
23.43,3.66,1.25,2.79,0.23
23.39,3.66,1.25,3.46,0.29
23.73,3.66,1.25,2.03,0.28
20.74,0.77,0.26,0.0,0.0
19.7,0.0,0.0,0.0,0.0
22.45,3.66,1.25,3.76,0.1
20.92,3.66,1.25,5.21,0.0
21.27,3.66,1.25,5.91,0.0
22.0,3.66,1.25,7.99,0.04
23.03,3.66,1.25,4.7,0.26
23.43,0.77,0.26,0.0,0.05
19.61,0.0,0.0,0.0,0.0
22.61,3.66,1.25,4.06,0.12
23.38,3.66,1.25,3.19,0.18
23.94,3.66,1.25,1.61,0.29
23.82,3.66,1.25,2.53,0.42
23.91,3.66,1.25,1.41,0.33
21.02,0.77,0.26,0.0,0.0
18.51,0.0,0.0,0.0,0.0
22.45,3.66,1.25,5.59,0.13
22.5,3.66,1.25,2.35,0.0
20.84,3.66,1.25,5.08,0.0
22.14,3.66,1.25,4.81,0.03
23.1,3.66,1.25,3.76,0.17
22.3,0.77,0.26,0.0,0.0
19.68,0.0,0.0,0.0,0.0
23.35,3.66,1.25,3.95,0.43
24.76,3.66,1.25,0.0,0.49
24.28,3.66,1.25,1.06,0.44
24.34,3.66,1.25,1.15,0.63
23.09,3.66,1.25,0.47,0.0
16.77,0.77,0.26,0.15,0.0
16.12,0.0,0.0,2.98,0.0
21.66,3.66,1.25,7.99,0.01
21.58,3.66,1.25,5.59,0.0
23.37,3.66,1.25,3.13,0.39
24.22,3.66,1.25,1.47,0.53
24.3,3.66,1.25,1.35,0.57
24.65,0.77,0.26,0.0,0.15
25.12,0.0,0.0,0.0,0.0
24.92,3.66,1.25,0.01,0.43
24.1,3.66,1.25,0.4,0.21
21.84,3.66,1.25,3.14,0.0
22.27,3.66,1.25,5.04,0.07
22.96,3.66,1.25,5.03,0.24
22.02,0.77,0.26,0.0,0.0
23.16,0.0,0.0,0.0,0.0
24.85,3.66,1.25,0.0,0.29
24.39,3.66,1.25,0.53,0.42
23.8,3.66,1.25,2.81,0.38
24.6,3.66,1.25,0.52,0.65
24.66,3.66,1.25,0.48,0.75
24.56,0.77,0.26,0.0,0.13
25.61,0.0,0.0,0.0,0.0
26.1,3.66,1.25,0.0,0.97
25.12,3.66,1.25,0.0,0.86
24.84,3.66,1.25,0.22,0.8
24.89,3.66,1.25,0.18,0.78
25.05,3.66,1.25,0.0,0.9
25.34,0.77,0.26,0.0,0.29
25.05,0.0,0.0,0.0,0.0
24.76,3.66,1.25,0.0,0.34
24.15,3.66,1.25,1.52,0.39
24.58,3.66,1.25,0.12,0.45
24.29,3.66,1.25,1.38,0.61
24.77,3.66,1.25,0.14,0.64
24.02,0.77,0.26,0.0,0.1
23.58,0.0,0.0,0.0,0.0
23.21,3.66,1.25,1.21,0.01
21.79,3.66,1.25,2.65,0.0
22.97,3.66,1.25,2.87,0.1
23.35,3.66,1.25,2.07,0.13
22.93,3.66,1.25,3.89,0.12
20.36,0.77,0.26,0.0,0.0
20.61,0.0,0.0,0.0,0.0
22.93,3.66,1.25,3.19,0.11
23.61,3.66,1.25,2.85,0.29
24.39,3.66,1.25,1.27,0.7
24.81,3.66,1.25,0.39,0.83
24.91,3.66,1.25,0.06,0.83
24.94,0.77,0.26,0.0,0.23
25.37,0.0,0.0,0.0,0.0
24.5,3.66,1.25,1.13,0.44
24.46,3.66,1.25,1.03,0.56
24.6,3.66,1.25,0.21,0.48
23.65,3.66,1.25,1.01,0.07
23.45,3.66,1.25,3.26,0.35
23.1,0.77,0.26,0.0,0.07
24.64,0.0,0.0,0.0,0.0
24.62,3.66,1.25,0.7,0.65
24.81,3.66,1.25,0.05,0.66
24.35,3.66,1.25,1.32,0.51
24.53,3.66,1.25,0.9,0.63
24.68,3.66,1.25,0.56,0.67
24.39,0.77,0.26,0.0,0.19
23.84,0.0,0.0,0.0,0.0
24.66,3.66,1.25,0.76,0.68
24.84,3.66,1.25,0.11,0.83
24.06,3.66,1.25,0.65,0.09
22.5,3.66,1.25,1.71,0.0
22.29,3.66,1.25,3.5,0.0
20.5,0.77,0.26,0.0,0.0
17.98,0.0,0.0,0.0,0.0
21.09,3.66,1.25,5.64,0.0
22.13,3.66,1.25,4.42,0.02
22.18,3.66,1.25,6.91,0.06
22.77,3.66,1.25,4.8,0.11
23.09,3.66,1.25,3.26,0.06
20.36,0.77,0.26,0.0,0.0
17.11,0.0,0.0,0.0,0.0
21.48,3.66,1.25,6.7,0.01
22.09,3.66,1.25,4.63,0.01
22.28,3.66,1.25,6.05,0.06
22.55,3.66,1.25,5.79,0.08
22.99,3.66,1.25,4.71,0.15
20.2,0.77,0.26,0.0,0.0
18.65,0.0,0.0,0.34,0.0
22.31,3.66,1.25,2.66,0.0
23.07,3.66,1.25,3.03,0.21
22.3,3.66,1.25,3.48,0.0
22.1,3.66,1.25,4.88,0.02
22.63,3.66,1.25,3.99,0.08
20.02,0.77,0.26,0.0,0.0
19.24,0.0,0.0,0.13,0.0
23.35,3.66,1.25,3.24,0.24
22.81,3.66,1.25,2.4,0.02
22.89,3.66,1.25,4.17,0.15
23.42,3.66,1.25,3.11,0.23
23.65,3.66,1.25,2.78,0.26
20.12,0.77,0.26,0.0,0.0
17.17,0.0,0.0,0.0,0.0
21.93,3.66,1.25,6.22,0.08
21.96,3.66,1.25,4.56,0.0
21.65,3.66,1.25,6.39,0.0
20.92,3.66,1.25,5.86,0.0
20.53,3.66,1.25,6.04,0.0
16.17,0.77,0.26,0.65,0.0
15.94,0.0,0.0,1.09,0.0
20.14,3.66,1.25,10.38,0.0
20.16,3.66,1.25,8.62,0.0
20.45,3.66,1.25,12.95,0.0
19.77,3.66,1.25,8.83,0.0
19.94,3.66,1.25,11.01,0.0
15.34,0.77,0.26,2.12,0.0
15.0,0.0,0.0,4.39,0.0
19.98,3.66,1.25,8.62,0.0
20.14,3.66,1.25,7.7,0.0
20.54,3.66,1.25,6.87,0.0
20.24,3.66,1.25,10.72,0.0
20.13,3.66,1.25,11.18,0.0
15.51,0.77,0.26,4.51,0.0
15.32,0.0,0.0,3.09,0.0
19.43,3.66,1.25,13.96,0.0
19.66,3.66,1.25,13.1,0.0
19.87,3.66,1.25,15.7,0.0
19.61,3.66,1.25,9.52,0.0
19.89,3.66,1.25,13.74,0.0
15.36,0.77,0.26,2.21,0.0
15.08,0.0,0.0,5.24,0.0
19.66,3.66,1.25,13.71,0.0
19.48,3.66,1.25,11.61,0.0
19.88,3.66,1.25,12.65,0.0
20.11,3.66,1.25,8.38,0.0
20.29,3.66,1.25,11.75,0.0
16.61,0.77,0.26,0.17,0.0
15.35,0.0,0.0,1.26,0.0
19.33,3.66,1.25,17.25,0.0
19.7,3.66,1.25,20.62,0.0
19.33,3.66,1.25,16.6,0.0
19.76,3.66,1.25,13.18,0.0
19.31,3.66,1.25,18.62,0.0
15.0,0.77,0.26,19.07,0.0
15.0,0.0,0.0,20.34,0.0
19.24,3.66,1.25,25.76,0.0
19.26,3.66,1.25,24.92,0.0
19.32,3.66,1.25,20.32,0.0
19.37,3.66,1.25,16.09,0.0
19.59,3.66,1.25,13.76,0.0
15.01,0.77,0.26,5.09,0.0
15.0,0.0,0.0,10.21,0.0
19.61,3.66,1.25,13.46,0.0
19.36,3.66,1.25,14.29,0.0
19.48,3.66,1.25,19.5,0.0
19.37,3.66,1.25,17.06,0.0
19.26,3.66,1.25,19.22,0.0
15.0,0.77,0.26,16.53,0.0
15.0,0.0,0.0,15.54,0.0
19.22,3.66,1.25,24.13,0.0
19.14,3.66,1.25,29.6,0.0
19.13,3.66,1.25,38.09,0.0
19.17,3.66,1.25,35.02,0.0
19.18,3.66,1.25,30.96,0.0
15.0,0.77,0.26,28.87,0.0
15.0,0.0,0.0,29.35,0.0
19.16,3.66,1.25,33.76,0.0
19.27,3.66,1.25,27.57,0.0
19.23,3.66,1.25,24.61,0.0
19.35,3.66,1.25,20.24,0.0
19.23,3.66,1.25,24.54,0.0
15.0,0.77,0.26,17.06,0.0
15.0,0.0,0.0,18.66,0.0
19.3,3.66,1.25,24.55,0.0
19.25,3.66,1.25,22.11,0.0
19.24,3.66,1.25,24.04,0.0
19.25,3.66,1.25,23.78,0.0
19.2,3.66,1.25,25.88,0.0
15.0,0.77,0.26,23.86,0.0
15.0,0.0,0.0,24.01,0.0
19.19,3.66,1.25,28.4,0.0
19.19,3.66,1.25,31.77,0.0
19.2,3.66,1.25,29.8,0.0
19.22,3.66,1.25,21.87,0.0
19.25,3.66,1.25,27.15,0.0
15.0,0.77,0.26,16.75,0.0
15.0,0.0,0.0,14.55,0.0
19.22,3.66,1.25,22.67,0.0
19.21,3.66,1.25,28.79,0.0
19.18,3.66,1.25,30.0,0.0
19.33,3.66,1.25,22.05,0.0
19.2,3.66,1.25,25.99,0.0
15.0,0.77,0.26,25.23,0.0
15.0,0.0,0.0,26.32,0.0
19.2,3.66,1.25,28.35,0.0
19.17,3.66,1.25,33.48,0.0
19.19,3.66,1.25,29.01,0.0
19.2,3.66,1.25,27.34,0.0
19.16,3.66,1.25,30.57,0.0
15.0,0.77,0.26,27.3,0.0
15.0,0.0,0.0,34.44,0.0
