DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
23.38,3664409.13,1248521.0,395799205.86,25627703.2
23.68,3664409.13,1248521.0,315519127.9,28613025.45
23.05,765096.41,260680.21,0.0,22191931.84
22.09,0.0,0.0,0.0,0.0
21.4,3664409.13,1248521.0,603160738.68,0.0
21.18,3664409.13,1248521.0,723026478.69,0.0
21.74,3664409.13,1248521.0,492354668.77,0.0
22.06,3664409.13,1248521.0,727795536.67,6291274.72
22.77,3664409.13,1248521.0,457730051.05,5801127.9
20.44,765096.41,260680.21,0.0,0.0
20.71,0.0,0.0,0.0,0.0
20.12,3664409.13,1248521.0,1702809471.8,0.0
19.61,3664409.13,1248521.0,2320639185.67,0.0
19.86,3664409.13,1248521.0,1660344705.66,0.0
19.76,3664409.13,1248521.0,1718789715.45,0.0
19.72,3664409.13,1248521.0,2237043630.23,0.0
16.78,765096.41,260680.21,431692420.68,0.0
18.35,0.0,0.0,8473028.18,0.0
19.83,3664409.13,1248521.0,1744326351.35,0.0
20.68,3664409.13,1248521.0,1271256827.81,0.0
22.58,3664409.13,1248521.0,745698526.82,25554564.06
23.45,3664409.13,1248521.0,393615535.56,29669373.91
23.48,3664409.13,1248521.0,336282415.38,29796067.76
22.97,765096.41,260680.21,0.0,17632151.54
22.72,0.0,0.0,0.0,0.0
21.94,3664409.13,1248521.0,912274682.46,0.0
22.5,3664409.13,1248521.0,708004657.55,1608432.9
21.83,3664409.13,1248521.0,485793949.63,0.0
20.21,3664409.13,1248521.0,1307395553.37,0.0
21.08,3664409.13,1248521.0,1353558143.32,0.0
20.73,765096.41,260680.21,245578855.0,17427686.73
22.63,0.0,0.0,0.0,0.0
22.93,3664409.13,1248521.0,578811963.46,18274148.38
23.02,3664409.13,1248521.0,364026681.74,3500128.57
22.37,3664409.13,1248521.0,851218847.47,6088962.07
22.82,3664409.13,1248521.0,618928771.01,18345093.76
23.17,3664409.13,1248521.0,516193762.3,28376026.23
21.85,765096.41,260680.21,0.0,22534477.98
21.91,0.0,0.0,0.0,0.0
23.09,3664409.13,1248521.0,620832631.31,31655633.56
23.53,3664409.13,1248521.0,316620166.22,50668582.57
20.77,3664409.13,1248521.0,1023501715.02,0.0
20.04,3664409.13,1248521.0,2051419315.59,0.0
19.73,3664409.13,1248521.0,2510763695.67,0.0
16.68,765096.41,260680.21,36660600.73,0.0
15.6,0.0,0.0,129797992.91,0.0
19.47,3664409.13,1248521.0,2884357213.9,0.0
19.5,3664409.13,1248521.0,2605732143.11,0.0
19.74,3664409.13,1248521.0,3038089634.2,0.0
19.84,3664409.13,1248521.0,2164092061.06,0.0
20.13,3664409.13,1248521.0,1570903434.1,0.0
16.25,765096.41,260680.21,62970400.97,0.0
15.55,0.0,0.0,530440641.87,0.0
19.46,3664409.13,1248521.0,2804733202.28,0.0
19.62,3664409.13,1248521.0,2682579539.29,0.0
19.66,3664409.13,1248521.0,2957243430.73,0.0
19.8,3664409.13,1248521.0,2517466162.97,0.0
