Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
 01/05  23:00:00,15.0,20134.12,6860.01,413168136.16,0.0
 01/05  24:00:00,15.0,20134.12,6860.01,407151212.37,0.0
 01/06  01:00:00,15.0,0.0,0.0,400629417.48,0.0
 01/06  02:00:00,15.0,0.0,0.0,393039911.92,0.0
 01/06  03:00:00,15.0,0.0,0.0,383990515.32,0.0
 01/06  04:00:00,15.0,0.0,0.0,375463369.64,0.0
 01/06  05:00:00,15.0,0.0,0.0,369497600.48,0.0
 01/06  06:00:00,21.91,0.0,0.0,787302862.15,0.0
 01/06  07:00:00,22.0,40268.23,13720.01,525504557.33,0.0
 01/06  08:00:00,22.0,80536.46,27440.02,519961691.98,0.0
 01/06  09:00:00,22.0,382548.21,130340.1,512490366.13,0.0
 01/06  10:00:00,22.0,382548.21,130340.1,506087838.79,0.0
 01/06  11:00:00,22.0,382548.21,130340.1,490008478.7,0.0
 01/06  12:00:00,22.0,382548.21,130340.1,467252412.95,0.0
 01/06  13:00:00,22.0,201341.16,68600.05,444726088.03,0.0
 01/06  14:00:00,22.0,382548.21,130340.1,434538029.46,0.0
 01/06  15:00:00,22.0,382548.21,130340.1,430488343.85,0.0
 01/06  16:00:00,22.0,382548.21,130340.1,427119683.39,0.0
 01/06  17:00:00,22.0,382548.21,130340.1,438421477.87,0.0
 01/06  18:00:00,22.0,120804.7,41160.03,456785037.05,0.0
 01/06  19:00:00,22.0,40268.23,13720.01,475772874.7,0.0
 01/06  20:00:00,17.14,40268.23,13720.01,88480502.85,0.0
 01/06  21:00:00,15.0,20134.12,6860.01,356683849.01,0.0
 01/06  22:00:00,15.0,20134.12,6860.01,379130248.76,0.0
 01/06  23:00:00,15.0,20134.12,6860.01,378178214.65,0.0
 01/06  24:00:00,15.0,20134.12,6860.01,361972857.78,0.0
 01/07  01:00:00,15.0,0.0,0.0,346378414.71,0.0
 01/07  02:00:00,15.0,0.0,0.0,339361735.72,0.0
 01/07  03:00:00,15.0,0.0,0.0,338296916.27,0.0
 01/07  04:00:00,15.0,0.0,0.0,336697054.79,0.0
 01/07  05:00:00,15.0,0.0,0.0,343391734.37,0.0
 01/07  06:00:00,15.0,0.0,0.0,356851360.59,0.0
 01/07  07:00:00,15.0,40268.23,13720.01,369777669.4,0.0
 01/07  08:00:00,15.0,40268.23,13720.01,363689415.97,0.0
 01/07  09:00:00,15.0,120804.7,41160.03,347856802.04,0.0
 01/07  10:00:00,15.0,120804.7,41160.03,331671890.05,0.0
 01/07  11:00:00,15.0,120804.7,41160.03,316084302.91,0.0
 01/07  12:00:00,15.0,120804.7,41160.03,299868021.67,0.0
 01/07  13:00:00,15.0,40268.23,13720.01,284685777.8,0.0
 01/07  14:00:00,15.0,40268.23,13720.01,277686459.99,0.0
 01/07  15:00:00,15.0,40268.23,13720.01,275029836.4,0.0
 01/07  16:00:00,15.0,40268.23,13720.01,272606036.26,0.0
 01/07  17:00:00,15.0,40268.23,13720.01,271572523.96,0.0
 01/07  18:00:00,15.0,0.0,0.0,270064272.6,0.0
 01/07  19:00:00,15.0,0.0,0.0,269221443.84,0.0
 01/07  20:00:00,15.0,0.0,0.0,266291172.41,0.0
 01/07  21:00:00,15.0,0.0,0.0,261583688.4,0.0
 01/07  22:00:00,15.0,0.0,0.0,256884048.38,0.0
 01/07  23:00:00,15.0,0.0,0.0,255116843.39,0.0
 01/07  24:00:00,15.0,0.0,0.0,255269989.51,0.0
 01/08  01:00:00,15.0,0.0,0.0,255380444.41,0.0
 01/08  02:00:00,15.0,0.0,0.0,258309738.25,0.0
 01/08  03:00:00,15.0,0.0,0.0,262995366.08,0.0
 01/08  04:00:00,15.0,0.0,0.0,267700688.79,0.0
 01/08  05:00:00,15.0,0.0,0.0,275536487.54,0.0
 01/08  06:00:00,15.0,0.0,0.0,283620147.3,0.0
 01/08  07:00:00,15.0,0.0,0.0,292218089.42,0.0
 01/08  08:00:00,15.0,0.0,0.0,291327474.53,0.0
 01/08  09:00:00,15.0,0.0,0.0,282726593.23,0.0
 01/08  10:00:00,15.0,0.0,0.0,274716416.77,0.0
 01/08  11:00:00,15.0,0.0,0.0,272018656.45,0.0
 01/08  12:00:00,15.0,0.0,0.0,273459084.0,0.0
 01/08  13:00:00,15.0,0.0,0.0,274540991.22,0.0
 01/08  14:00:00,15.0,0.0,0.0,272958840.68,0.0
 01/08  15:00:00,15.0,0.0,0.0,268989594.06,0.0
 01/08  16:00:00,15.0,0.0,0.0,265769495.95,0.0
 01/08  17:00:00,15.0,0.0,0.0,270811054.65,0.0
 01/08  18:00:00,15.0,0.0,0.0,278991424.76,0.0
 01/08  19:00:00,15.0,0.0,0.0,287716081.75,0.0
 01/08  20:00:00,15.0,0.0,0.0,298744846.84,0.0
 01/08  21:00:00,15.0,0.0,0.0,310913083.85,0.0
 01/08  22:00:00,15.0,0.0,0.0,323055367.73,0.0
 01/08  23:00:00,15.0,0.0,0.0,332097122.17,0.0
 01/08  24:00:00,15.0,0.0,0.0,338052415.27,0.0
 01/09  01:00:00,15.0,0.0,0.0,344545262.25,0.0
 01/09  02:00:00,15.0,0.0,0.0,356385537.08,0.0
 01/09  03:00:00,15.0,0.0,0.0,369722842.39,0.0
 01/09  04:00:00,15.0,0.0,0.0,383644205.95,0.0
 01/09  05:00:00,15.0,0.0,0.0,389178521.54,0.0
 01/09  06:00:00,21.91,0.0,0.0,808138188.65,0.0
 01/09  07:00:00,22.0,40268.23,13720.01,553091576.68,0.0
 01/09  08:00:00,22.0,80536.46,27440.02,557662231.44,0.0
 01/09  09:00:00,22.0,382548.21,130340.1,564909835.78,0.0
 01/09  10:00:00,22.0,382548.21,130340.1,572583771.42,0.0
 01/09  11:00:00,22.0,382548.21,130340.1,554884823.84,0.0
 01/09  12:00:00,22.0,382548.21,130340.1,523263441.96,0.0
