x,y,z
3510.66015625,-400,570.050476074219
3793.5029296875,-400,852.893188476563
3934.92431640625,-400,852.893188476563
4217.76708984375,-400,1135.73596191406
4217.76708984375,-400,570.050476074219
4500.60986328125,-400,852.893188476563
752.943725585938,-400,499.339813232422
1035.78637695313,-400,782.182556152344
1035.78637695313,-400,216.497116088867
1318.62915039063,-400,499.339813232422
1460.05053710938,-400,499.339813232422
1742.89318847656,-400,782.182556152344
1742.89318847656,-400,216.497116088867
2025.73596191406,-400,499.339813232422
2167.1572265625,-400,499.339813232422
2450,-400,782.182556152344
2450,-400,216.497116088867
2732.8427734375,-400,499.339813232422
2874.26416015625,-400,499.339813232422
3157.10668945313,-400,782.182556152344
3157.10668945313,-400,216.497116088867
3439.94946289063,-400,499.339813232422
3581.37084960938,-400,499.339813232422
3864.21362304688,-400,782.182556152344
3864.21362304688,-400,216.497116088867
4147.05615234375,-400,499.339813232422
399.390319824219,-400,145.786437988281
682.233032226563,-400,428.629150390625
682.233032226563,-400,-137.056274414063
965.075744628906,-400,145.786437988281
1106.4970703125,-400,145.786437988281
1389.33984375,-400,428.629150390625
1389.33984375,-400,-137.056274414063
1672.18249511719,-400,145.786437988281
1813.60388183594,-400,145.786437988281
2096.44653320313,-400,428.629150390625
2096.44653320313,-400,-137.056274414063
2379.28930664063,-400,145.786437988281
2520.71069335938,-400,145.786437988281
2803.55346679688,-400,428.629150390625
2803.55346679688,-400,-137.056274414063
3086.39599609375,-400,145.786437988281
3227.8173828125,-400,145.786437988281
3510.66015625,-400,428.629150390625
3510.66015625,-400,-137.056274414063
3793.5029296875,-400,145.786437988281
3934.92431640625,-400,145.786437988281
4217.76708984375,-400,428.629150390625
4217.76708984375,-400,-137.056274414063
4500.60986328125,-400,145.786437988281
